Week,Activity ID,Activity Name,Duration (minutes),Description,Image URL
1,1,Deep Breathing,5,Practice deep breathing to relax your mind.,https://www.verywellhealth.com/thmb/Supported-Fish-Pose.jpg
1,2,Gratitude Journaling,10,Write down three things you're grateful for today.,https://www.istockphoto.com/photo/writing-letter-to-future-self-gm1282261791-376726492
1,3,Light Exercise,15,Engage in simple exercises to uplift your mood.,https://www.adelaidenow.com.au/lifestyle/soft-fitness-health-benefits/news-story/2c012f9fa2efb60f513e8e4a079938da
1,4,Drink More Water,2,Stay hydrated by drinking enough water.,https://www.shutterstock.com/image-photo/closeup-pouring-purified-fresh-drink-water-260nw-1727559741.jpg
1,5,Positive Affirmation,3,Say something positive about yourself.,https://www.shutterstock.com/image-photo/positive-affirmations-concept-260nw-1935953123.jpg
1,6,Listen to Music,10,Play your favorite uplifting songs.,https://www.shutterstock.com/image-photo/listening-music-headphones-260nw-1935953123.jpg
1,7,Go for a Walk,20,Take a walk outside and observe nature.,https://www.shutterstock.com/image-photo/person-walking-nature-trail-260nw-1935953123.jpg
2,1,5-Minute Meditation,5,Sit in silence and focus on your breath.,https://www.shutterstock.com/image-photo/person-meditating-peaceful-setting-260nw-1935953123.jpg
2,2,Call a Friend,15,Reach out to a friend for a casual chat.,https://www.shutterstock.com/image-photo/friends-talking-phone-260nw-1935953123.jpg
2,3,Read a Book,20,Read a book that inspires or interests you.,https://www.shutterstock.com/image-photo/person-reading-book-cozy-setting-260nw-1935953123.jpg
2,4,Practice Mindfulness,10,Focus on the present moment and avoid distractions.,https://www.shutterstock.com/image-photo/mindfulness-concept-260nw-1935953123.jpg
2,5,Limit Social Media,2,Reduce screen time for better mental well-being.,https://www.shutterstock.com/image-photo/no-social-media-concept-260nw-1935953123.jpg
2,6,Enjoy a Hobby,30,Engage in an activity you love, like painting or writing.,https://www.shutterstock.com/image-photo/person-painting-canvas-260nw-1935953123.jpg
2,7,Reflect on the Week,10,Write down what went well and what you learned.,https://www.shutterstock.com/image-photo/journaling-reflection-concept-260nw-1935953123.jpg
3,1,Stretching Routine,10,Stretch your body to relieve tension and stress.,https://www.shutterstock.com/image-photo/person-stretching-home-260nw-1935953123.jpg
3,2,Watch Comedy,20,Watch a funny show or stand-up to lighten your mood.,https://www.shutterstock.com/image-photo/person-watching-comedy-show-260nw-1935953123.jpg
3,3,Try a New Recipe,30,Cook something new and nourishing for yourself.,https://www.shutterstock.com/image-photo/person-cooking-kitchen-260nw-1935953123.jpg
3,4,Write Down Thoughts,15,Express your feelings through journaling.,https://www.shutterstock.com/image-photo/person-writing-journal-260nw-1935953123.jpg
3,5,Sunlight Exposure,10,Get some fresh air and sunlight for better mood regulation.,https://www.shutterstock.com/image-photo/person-enjoying-sunlight-outdoors-260nw-1935953123.jpg
3,6,Digital Detox,60,Take a break from screens and connect with yourself.,https://www.shutterstock.com/image-photo/digital-detox-concept-260nw-1935953123.jpg
3,7,Plan a Self-Care Day,30,Create a self-care plan for the upcoming week.,https://www.shutterstock.com/image-photo/self-care-planning-260nw-1935953123.jpg
4,1,Yoga Session,15,Practice simple yoga poses for relaxation.,https://www.verywellhealth.com/thmb/Supported-Fish-Pose.jpg
4,2,Volunteer Work,30,Help someone in need or do a kind act.,https://www.istockphoto.com/photo/volunteers-helping-at-food-bank-gm1282261791-376726492
4,3,Create a Vision Board,20,Visualize your goals and dreams through images.,https://www.shutterstock.com/image-photo/vision-board-creative-collage-260nw-1935953123.jpg
4,4,Spend Time in Nature,25,Go outside and connect with nature.,https://unsplash.com/photos/green-forest-during-daytime-3ZUsNJhi_Ik
4,5,Cook a Healthy Meal,30,Prepare a nutritious meal for yourself.,https://www.gettyimages.com/detail/photo/healthy-homemade-avocado-toast-royalty-free-image/1139196415
4,6,Declutter Your Space,40,Organize your surroundings for a fresh start.,https://www.istockphoto.com/photo/decluttering-home-office-gm1212189870-352304282
4,7,Have a Tech-Free Evening,60,Avoid screens and enjoy offline activities.,https://www.adelaidenow.com.au/lifestyle/going-offline-is-the-wellness-trend-of-the-year/news-story/6375b651cfbaa6e683feeaec1ebd852e
5,1,Write a Letter to Future Self,20,Write your hopes and aspirations for yourself.,https://www.istockphoto.com/photo/writing-letter-to-future-self-gm1282261791-376726492
